date,count,target,level,comment
2020-11-14,1193,1250,4,""
2020-11-15,9244,1250,5,""
2020-11-16,0,1250,0,""
2020-11-17,0,1250,0,""
2020-11-18,1,1250,1,""
2020-11-19,0,1250,0,""
2020-11-20,0,1250,0,""
2020-11-21,0,1250,0,""
2020-11-22,0,1250,0,""
2020-11-23,0,1250,0,""
2020-11-25,0,1250,0,""
2020-11-27,266,1250,1,""
2020-11-30,426,1250,2,""
2021-04-04,0,1250,0,""
2021-11-11,5,1250,1,""
2021-11-12,0,1250,0,""
2021-11-13,0,1250,0,""
2021-11-14,24,1250,1,""
2021-11-15,277,1250,1,""
2021-11-16,21,1250,1,""
2021-11-17,0,1250,0,""
2021-11-18,264,1250,1,""
2021-11-20,1411,1250,5,""
2021-11-21,3026,1250,5,""
2021-11-22,277,1250,1,""
2021-11-23,103,1250,1,""
2021-11-24,0,1250,0,""
2021-11-25,269,1250,1,""
2021-11-26,1559,1250,5,""
2021-11-27,68,1250,1,""
2021-11-28,1024,1250,4,""
2021-11-29,1197,1250,4,""
2021-12-01,964,1250,4,""
2021-12-02,84,1250,1,""
2021-12-03,374,1250,2,""
2021-12-07,386,1250,2,""
2021-12-08,1906,1250,5,""
2021-12-09,47,1250,1,""
2021-12-10,5,1250,1,""
2021-12-11,1256,1250,5,""
2021-12-12,689,1250,3,""
2021-12-13,771,1250,3,""
2021-12-20,163,1250,1,""
2021-12-21,564,1250,2,""
2021-12-23,0,1250,0,""
2021-12-24,0,1250,0,""
2021-12-25,72,1250,1,""
2021-12-26,452,1250,2,""
2021-12-27,387,1250,2,""
2021-12-28,2079,1250,5,""
2021-12-30,2235,1250,5,""
2021-12-31,2636,1250,5,""
2022-01-01,377,1250,2,""
2022-01-02,601,1250,2,""
2022-01-04,532,1250,2,""
2022-01-05,18,1250,1,""
2022-01-06,2071,1250,5,""
2022-01-07,476,1250,2,""
2022-01-08,761,1250,3,""
2022-01-10,1013,1250,4,""
2022-01-11,862,1250,3,""
2022-01-12,760,1250,3,""
2022-01-13,7,1250,1,""
2022-01-14,0,1250,0,""
2022-01-15,762,1250,3,""
2022-01-17,1590,1250,5,""
2022-01-18,1173,1250,4,""
2022-01-19,80,1250,1,""
2022-01-20,737,1250,3,""
2022-01-21,213,1250,1,""
2022-01-23,383,1250,2,""
2022-01-24,653,1250,3,""
2022-01-25,6,1250,1,""
2022-01-26,1208,1250,4,""
2022-02-03,1022,1250,4,""
2022-02-04,70,1250,1,""
2022-02-05,1172,1250,4,""
2022-02-06,1438,1250,5,""
2022-02-07,0,1250,0,""
2022-02-08,1407,1250,5,""
2022-02-09,1031,1250,4,""
2022-02-10,535,1250,2,""
2022-02-11,972,1250,4,""
2022-02-12,1194,1250,4,""
2022-02-13,694,1250,3,""
2022-02-14,889,1250,3,""
2022-02-15,1085,1250,4,""
2022-02-16,1149,1250,4,""
2022-02-17,2,1250,1,""
2022-02-18,102,1250,1,""
2022-03-12,1825,1250,5,""
2022-03-24,1360,1250,5,""
2022-04-06,365,1250,2,""
2022-05-04,737,1250,3,""
2022-05-05,1364,1250,5,""
2022-05-13,0,1250,0,""
2022-05-20,0,1250,0,""
2022-05-21,342,1250,2,""
2022-09-12,0,1250,0,""
2022-09-13,0,1250,0,""
2022-09-15,2,1250,1,""
2022-09-18,48,1250,1,""
2022-02-19,2615,1250,5,""
2022-02-20,2189,1250,5,""
2022-02-21,696,1250,3,""
2022-02-22,559,1250,2,""
2022-02-23,893,1250,3,""
2022-03-01,0,1250,0,""
2022-09-14,0,1250,0,""
2022-09-22,2,1250,1,""
2022-09-25,1,1250,1,""
2022-10-23,1689,1000,5,""
2022-10-24,1110,1000,5,""
2022-02-25,0,1250,0,""
2022-02-27,0,1250,0,""
2022-02-28,1386,1250,5,""
2022-03-02,0,1250,0,""
2022-03-03,862,1250,3,""
2022-03-08,0,1250,0,""
2022-03-09,1071,1250,4,""
2022-03-10,2345,1250,5,""
2022-03-11,258,1250,1,""
2022-03-14,1436,1250,5,""
2022-03-15,1216,1250,4,""
2022-03-17,791,1250,3,""
2022-03-18,826,1250,3,""
2022-03-20,1641,1250,5,""
